SL No,Dispo_No,Dispo_Date,PO_No,Mkt_Ref_No,Style_No,color,Dispo Qty(Yds),PO_Qty,End_Buyer,garments_name,Process_Type,fabric_type,Weave_Type,composition,Total_Ends,Warp_Count,Weft Count,finish_type,construction,Dispo Grey Yarn Req (Warp),Dispo Grey Yarn Req (Weft),Dispo Dyed Yarn Req (Warp),Dispo Dyed Yarn Req (Weft),dispo_grey_qty,Req Grey Fabrics(YDS),Color Warp,Color Weft,Reed No,finish_width,Warp Length,Receive Warp Length,Remining Warp Length,Warp Plane,Acc.Holder,Total Grey Yarn Issued,S/W Total Yarn Issued Qty,Warp Yarn Consumption,Weft Yarn Consumption,DO No,DO Qty,Delivery Qty,Remarks,Short Excess Production,Print,Sample Qty.,Dispo Ref.,Type,Excess Dispo,Excess Qty,1st Gray Receive,Full Gray Receive,Hand Loom Delivery,Sample Delivery,PP Sample,Full Delivery,Test Sample,PP Sample,1st Delivery,2nd Delivery,3rd Delivery,Full Qty Delivery,Hanger,Dye Lot,ppsample,1st Delivery,2nd Delivery,Full Qty Delivery,3rd  Delivery,,,
2010,610211,31 Jul 2023,230701874,P230712532,Digital Print,,131.23 ,100.00 ,9 to 5 Attire,9 to 5 Attire,Digital Print,Digital Print,Plain,100% Viscose,"4,528.00 ",30 Viscose,30 Viscose,Soft,80x68/30x30,0.00 ,0.00 ,0.00 ,0.00 ,160.00 ,174.98 ,1,1,64/2,70.75,0.00 ,0.00 ,0.00 ,0.00 ,Salma Shermin,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,
2011,610212,31 Jul 2023,230701874,P230712533,Digital Print,,131.23 ,100.00 ,9 to 5 Attire,9 to 5 Attire,Digital Print,Digital Print,Plain,100% Viscose,"4,528.00 ",30 Viscose,30 Viscose,Soft,80x68/30x30,0.00 ,0.00 ,0.00 ,0.00 ,160.00 ,174.98 ,1,1,64/2,70.75,0.00 ,0.00 ,0.00 ,0.00 ,Salma Shermin,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,
2012,610213,30 Jul 2023,220100051,P220100303,,16-3310 TCX Lavender Herb,32.81 ,200.00 ,Paramount,Paramount,S/D,Solid,Plain,65% recycle polyester 35% cotton,"7,670.00 ",45 TC,45TC,Soft,133x72/45x45,0.00 ,0.00 ,0.00 ,0.00 ,50.00 ,54.68 ,1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,23 Jan 2022,,,,
2013,610214,30 Jul 2023,220100051,P220100303,,16-3310 TCX Lavender Herb,32.81 ,200.00 ,Paramount,Paramount,S/D,Solid,Plain,60% BCI cotton / 40% Recycled polyester,"6,384.00 ",45CVC,45 CVC,Soft,112x78/45x45,0.00 ,0.00 ,0.00 ,0.00 ,50.00 ,54.68 ,1,1,99/2,64.48,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,23 Jan 2022,,,,
2014,610215,30 Jul 2023,220100051,P220100303,,PTL navy,32.81 ,200.00 ,Paramount,Paramount,S/D,Solid,Plain,100% Lenzing Viscose,"4,528.00 ",30 Viscose,30 Viscose,Soft,80X68/30X30,0.00 ,0.00 ,0.00 ,0.00 ,50.00 ,54.68 ,1,1,64/2,70.75,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,23 Jan 2022,,,,
2015,610216,30 Jul 2023,230701855,P230712450,,Will Confirm Soon,546.80 ,350.00 ,S. Oliver,S. Oliver,RFD,Greige (Dyeable),Plain,100% BCI Cotton,"9,120.00 ",60,60,,160x120/60x60,66.92 ,46.28 ,66.92 ,46.28 ,543.00 ,593.83 ,1,1,140/2,65.14,670.80 ,0.00 ,670.80 ,670.00 ,Hasan Mahabub Sayem,113.20 ,0.00 ,66.92 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,06 Aug 2023,,,,
2016,610217,02 Aug 2023,230701862R-1,P230712467,Soulette Twill Over Dye,,98.42 ,50.00 ,SFDenim (Monoprix),SFDenim (Monoprix),RFD,As Per Swatch,As Per Swatch,100% Cotton,"4,104.00 ",10,10,RFD+ Face Side Peach,72x42/10x10,76.53 ,40.55 ,76.53 ,40.55 ,108.00 ,118.11 ,1,1,62/2,66.19,299.03 ,0.00 ,299.03 ,295.00 ,Md. Ariful Islam (Bipu) ,117.08 ,0.00 ,76.53 ,40.55 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,06 Aug 2023,,,,,,
2017,610218,30 Jul 2023,230701863,P230712480,,5502 - Coast Blue (Pantone 17-4030TCX),76.55 ,25.00 ,S. Oliver,SQUARE APPARELS LTD.,S/D,Solid,Plain,100% BCI Cotton,"8,208.00 ",50,50,Soft,144X80/50X50,0.00 ,0.00 ,0.00 ,0.00 ,81.00 ,88.58 ,1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Qudrat-E-Khuda,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,05 Aug 2023,,,,
2018,610219,30 Jul 2023,230701870,P230712527,,RFD,218.72 ,180.00 ,STREET ONE -TMS,STREET ONE -TMS,PFD,RFD,2/1 “S” Twill,98% Cotton +2% Spandex,"9,679.00 ",32,30+40D,Peach+Ready for Dyeing,176x72/32x30+40D,0.00 ,0.00 ,0.00 ,0.00 ,250.00 ,273.40 ,1,1,96/3,67.22,0.00 ,0.00 ,0.00 ,0.00 ,Hasan Mahabub Sayem,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,03 Aug 2023,,,,
2019,610219,14 Aug 2023,230701870,P230712527,,RFD,164.04 ,180.00 ,STREET ONE -TMS,STREET ONE -TMS,PFD,RFD,2/1 “S” Twill,98% Cotton +2% Spandex,"9,679.00 ",32,30+40D,Peach+Ready for Dyeing,176x72/32x30+40D,94.55 ,41.96 ,94.55 ,41.96 ,200.00 ,218.72 ,1,1,96/3,67.22,486.93 ,0.00 ,486.93 ,485.00 ,Hasan Mahabub Sayem,136.51 ,0.00 ,94.55 ,41.96 ,,0,0.00 ,,0,No,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,03 Aug 2023,,,,
2020,610220,30 Jul 2023,230701878,P230712066,L Adriana Cargo Pant,As per Buyer Swatch,76.55 ,30.00 ,Varner,Varner,AS PER SWATCH,As Per Swatch,"2/2 ""S"" Twill",98% BCI Cotton + 2% Spandex.,"7,020.00 ",20,20+70D,Peach (As per Swatch),130x70/20x(20+70D),62.36 ,34.25 ,62.36 ,34.25 ,81.00 ,88.58 ,1,1,94/2,74.68,263.46 ,0.00 ,263.46 ,260.00 ,Rafi,96.61 ,0.00 ,62.36 ,34.25 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,08 Aug 2023,,,,
2021,610221,30 Jul 2023,230701878,P230712068,M Slim Chinos,As per Buyer Swatch,76.55 ,30.00 ,Varner,Varner,AS PER SWATCH,As Per Swatch,"3/1 ""S"" Twill",98% BCI Cotton + 2% Spandex.,"9,060.00 ",40,20+70D,Soft,168x82/40x(20+70D),41.49 ,40.72 ,41.49 ,40.72 ,81.00 ,88.58 ,1,1,60/4,75.5,263.46 ,0.00 ,263.46 ,260.00 ,Rafi,82.21 ,0.00 ,41.49 ,40.72 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,08 Aug 2023,,,,
2022,610222,30 Jul 2023,230701878,P230712069,Chino RF Stretch,As per Buyer Swatch,76.55 ,30.00 ,Varner,Varner,AS PER SWATCH,As Per Swatch,"3/1 ""S"" Twill",98% BCI Cotton + 2% Spandex.,"8,964.00 ",32,16+70D,Peach (As per Swatch),166x68/32x(16+70D),51.38 ,39.52 ,51.38 ,39.52 ,81.00 ,88.58 ,1,1,60/4,74.7,263.47 ,0.00 ,263.47 ,260.00 ,Rafi,90.90 ,0.00 ,51.38 ,39.52 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,08 Aug 2023,,,,
2023,610223,30 Jul 2023,230701878,P230712070,L Irish Short,As per Buyer Swatch,76.55 ,30.00 ,Varner,Varner,AS PER SWATCH,As Per Swatch,2/1 “S” Twill,98% BCI Cotton + 2% Spandex.,"9,675.00 ",32,30+40D,Light Peach,180x64/32x(30+40D),51.38 ,20.21 ,51.38 ,20.21 ,81.00 ,88.58 ,1,1,86/3,75,263.47 ,0.00 ,263.47 ,260.00 ,Rafi,71.59 ,0.00 ,51.38 ,20.21 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,08 Aug 2023,,,,
2024,610224,30 Jul 2023,230701878,P230712071,5 Pkt  Rf Stretch,As per Buyer Swatch,76.55 ,30.00 ,Varner,Varner,AS PER SWATCH,As Per Swatch,"3/1 ""S"" Twill",98% BCI Cotton + 2% Spandex.,"7,152.00 ",20,16+70D,Peach (As per Swatch),132x58/20x(16+70D),67.27 ,33.45 ,67.27 ,33.45 ,81.00 ,88.58 ,1,1,48/4,74.5,263.47 ,0.00 ,263.47 ,260.00 ,Rafi,100.72 ,0.00 ,67.27 ,33.45 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,08 Aug 2023,,,,
2025,610226,30 Jul 2023,210801257,P210810991,Linen Cotton Development(Cafe Luna),003 JET BLACK,164.04 ,50.00 ,PERRY ELLIS,PERRY ELLIS,S/D,Solid,Plain,55% Linen + 45% Cotton,"3,456.00 ",21 L/C,21L/C,Soft,60x50/21LCx21LC,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,48/2,72,0.00 ,0.00 ,0.00 ,0.00 ,Md. Ismail Hossain,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,06 Sep 2021,,,,
2026,610227,05 Aug 2023,230701880R-1,P230712571,044EE2F305,*550 mauve (Pantone 17-3410 TCX),142.17 ,160.00 ,ESPRIT (DEKKO),DEKKO READYWEARS LTD.,S/D,,Dobby,100% BCI Cotton,"3,087.00 ",(16+40/2) , (16+40/2),Soft,54x54/(40/2+16)x(40/2+16),0.00 ,0.00 ,0.00 ,0.00 ,170.00 ,185.91 ,2,2,44/2,70.16,0.00 ,0.00 ,0.00 ,0.00 ,Md. Zahid Chowdhury,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,13 Aug 2023,,,,
2027,610228,31 Jul 2023,230701884,P230710775,6612M+6601S+6601Y+5580M,LIGHT GREY MSCC 47276,98.42 ,50.00 ,M&S,M&S,S/D,Solid,2/1 “S” Twill,98% BCI Cotton + 2% Spandex.,"7,410.00 ",20,16+70D,Face Side Peach,130x60/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,108.00 ,118.11 ,1,1,99/2,74.85,0.00 ,0.00 ,0.00 ,0.00 ,Tasin Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,09 Aug 2023,,,,,,,,,,,,,,,,,,
2028,610228,16 Aug 2023,230701884,P230710775,6612M+6601S+6601Y+5580M,LIGHT GREY MSCC 47276,98.42 ,50.00 ,M&S,M&S,S/D,Solid,2/1 “S” Twill,98% BCI Cotton + 2% Spandex.,"7,410.00 ",20,16+70D,Face Side Peach,130x60/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,108.00 ,118.11 ,1,1,99/2,74.85,0.00 ,0.00 ,0.00 ,0.00 ,Tasin Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,ExcessFabric,0.00 ,0.00 ,,,,09 Aug 2023,,,,,,,,,,,,,,,,,,
2029,610229,31 Jul 2023,230701884,P230710778,6612M+6601S+6601Y+5580M,PALE BLUE MSCC 22018,98.42 ,50.00 ,M&S,M&S,S/D,Solid,2/1 “S” Twill,98% BCI Cotton + 2% Spandex.,"7,410.00 ",20,16+70D,Face Side Peach,130x60/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,108.00 ,118.11 ,1,1,99/2,74.85,0.00 ,0.00 ,0.00 ,0.00 ,Tasin Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,09 Aug 2023,,,,,,,,,,,,,,,,,,
2030,610230,31 Jul 2023,230701877,P230712232,5X9ZCQ03A  X9Z,101 qtx,87.49 ,60.00 ,Benetton,Benetton,S/D,Solid,Plain,100% BCI Cotton,"8,208.00 ",50,50,Soft,144x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,110.00 ,120.30 ,1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Nazrul Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,05 Aug 2023,,,,
2031,610231,01 Aug 2023,230701849R-1,P230712437,,PFD,131.23 ,100.00 ,Tom Tailor,Tom Tailor,PFD,As Per Swatch,Dobby (As per Swatch),97% BCI Cotton + 3% Elastane,"6,600.00 ",20,16+(30+40D),PFD,120x86/20x{16+(30+40D)},69.52 ,44.27 ,69.52 ,44.27 ,150.00 ,164.04 ,1,2,92/2,71.74,319.33 ,0.00 ,319.33 ,315.00 ,Shaidul,113.79 ,0.00 ,69.52 ,44.27 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,10 Aug 2023,,,,
2032,610232,01 Aug 2023,230701875,P230712544,5X9ZCQ03A  X9Z,61L,76.55 ,40.00 ,Benetton,Benetton,All Over Print,As Per CAD,Plain,100% BCI Cotton,"8,208.00 ",50,50,Soft,144x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,81.00 ,88.58 ,1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Md. Ismail Hossain,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,05 Aug 2023,,,,
2033,610233,01 Aug 2023,230701875,P230712545,5X9ZCQ03A  X9Z,61M,76.55 ,40.00 ,Benetton,Benetton,All Over Print,As Per CAD,Plain,100% BCI Cotton,"8,208.00 ",50,50,Soft,144x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,81.00 ,88.58 ,1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Md. Ismail Hossain,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,05 Aug 2023,,,,
2034,610234,02 Aug 2023,230701887,P230712593,MS 10761370,Layer 1 44600 Ivory,76.55 ,20.00 ,M&S,M&S,All Over Print,Printed,Plain,100% BCI Cotton,"8,208.00 ",50,50,Soft,144x72/50x50,0.00 ,0.00 ,0.00 ,0.00 ,81.00 ,88.58 ,1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Tasin Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,09 Aug 2023,,,,,,,,,,,,,,,,,,
2035,610235,02 Aug 2023,230701887,P230712594,MS 10761374,Layer 1 23170 Willow,76.55 ,20.00 ,M&S,M&S,All Over Print,Printed,Plain,100% BCI Cotton,"8,208.00 ",40,40,Soft,144x72/50x50,0.00 ,0.00 ,0.00 ,0.00 ,81.00 ,88.58 ,1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,Tasin Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,09 Aug 2023,,,,,,,,,,,,,,,,,,
2036,610236,01 Aug 2023,230701890,P230507458,,H230103279,76.55 ,30.00 ,Clover Collections,Clover Collections,S/D,White,Dobby,100% Cotton,"7,308.00 ",40,40+40/2,Soft,126x86(68.8+17.2)/40x40+40/2,33.51 ,23.19 ,33.51 ,23.19 ,81.00 ,88.58 ,1,2,108/2,67.67,263.47 ,0.00 ,263.47 ,260.00 ,Qudrat-E-Khuda,56.70 ,0.00 ,33.51 ,23.19 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,10 Aug 2023,,,,
2037,610237,01 Aug 2023,230801892,P230812632,,PTL Optic White,32.81 ,20.00 ,9 to 5 Attire,9 to 5 Attire,S/D,Solid,Dobby (Double cloth),100% Cotton,"7,050.00 ",40,40,Cheese (process as T05907),124x80/40x40,0.00 ,0.00 ,0.00 ,0.00 ,50.00 ,54.68 ,1,1,94/2,75,0.00 ,0.00 ,0.00 ,0.00 ,Md. Jubaidur Rahman,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,05 Aug 2023,,,,
2038,610238,01 Aug 2023,230801892,P230812633,,PTL Black,32.81 ,20.00 ,9 to 5 Attire,9 to 5 Attire,S/D,Solid,Dobby (Double cloth),100% Cotton,"7,050.00 ",40,40,Cheese (process as T05907),124x80/40x40,0.00 ,0.00 ,0.00 ,0.00 ,50.00 ,54.68 ,1,1,94/2,75,0.00 ,0.00 ,0.00 ,0.00 ,Md. Jubaidur Rahman,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,05 Aug 2023,,,,
2039,610239,01 Aug 2023,230801894,P230711799,,As per Swatch,98.42 ,30.00 ,ZARA,ZARA,S/D,Solid,"3/1 ""S"" Twill",100% BCI Cotton,"5,980.00 ",20,20,Soft,108x60/21x21,0.00 ,0.00 ,0.00 ,0.00 ,120.00 ,131.23 ,1,1,46/4,65,0.00 ,0.00 ,0.00 ,0.00 ,Salauddin Khan,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,06 Aug 2023,,,,,,
2040,610240,02 Aug 2023,230701873R-1,P230506521,19190,1100,76.55 ,20.00 ,Gerry Weber International AG,NEO FASHION LTD.,S/D,,4/1 Satin,100% Lenzing (Ecovera),"10,327.00 ",60 vis,60 vis,Regular,194X114/60VisX60Vis,0.00 ,0.00 ,0.00 ,0.00 ,81.00 ,88.58 ,1,1,102/3,67.5,0.00 ,0.00 ,0.00 ,0.00 ,Md. Zahid Chowdhury,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,06 Aug 2023,,,,
2041,610241,02 Aug 2023,230701891R-1,P230712620,,"ALT 1,",76.55 ,10.00 ,H&M,Vision Apparels Ltd.,digital,AOP,Plain,100% BCI Cotton,"8,208.00 ",50,50,Soft,140x80/50x50,0.00 ,0.00 ,0.00 ,0.00 ,81.00 ,88.58 ,1,1,126/2,65.14,0.00 ,0.00 ,0.00 ,0.00 ,MAHRAZ,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,06 Aug 2023,,,,,,
2042,610242,02 Aug 2023,230801893,P230812677,"Code : OMW00598, MJJ24 PLR",Base & print Color as per CAD Archroma /QTX file / Pantone,43.74 ,18.00 ,EXPRESS,AKH ECO APPARELS LTD,All Over Print,As Per CAD,Plain,97% Cotton + 3% Elastane.,"6,075.00 ",40,(40+40D),SilkySoft,110x70/40x(40+40D),0.00 ,0.00 ,0.00 ,0.00 ,70.00 ,76.55 ,1,1,81/2,75,0.00 ,0.00 ,0.00 ,0.00 ,Rafi,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,08 Aug 2023,,,,
2043,610243,06 Aug 2023,230701756,P230711913,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"11,628.00 ",85D,87D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,108/3,71.78,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2044,610244,06 Aug 2023,230701756,P230711914,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"9,761.00 ",42D,56D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,130/3,50.06,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2045,610245,06 Aug 2023,230701756,P230711915,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"13,200.00 ",63D,67D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,130/3,67.69,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2046,610246,06 Aug 2023,230701756,P230711916,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"12,426.00 ",90D,70D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,112/3,73.96,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2047,610247,06 Aug 2023,230701756,P230711917,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"5,412.00 ",187D,187D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,60/2,90.2,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2048,610248,06 Aug 2023,230701756,P230711918,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"8,704.00 ",91D,95D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,62/4,70.19,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2049,610249,06 Aug 2023,230701756,P230711919,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"7,104.00 ",68D,84D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,144/2,49.33,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2050,610250,06 Aug 2023,230701756,P230711920,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"5,676.00 ",91D,105D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,70/2,81.09,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2051,610251,06 Aug 2023,230701756,P230711921,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"7,239.00 ",82D,85D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,99/2,73.12,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2052,610252,06 Aug 2023,230701756,P230711922,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"7,182.00 ",86D,187D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,96/2,74.81,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2053,610253,06 Aug 2023,230701756,P230711923,,as swatch,164.04 ,150.00 ,Paramount,Paramount,S/D,Solid,As per Quality Swatch,100% Polyester,"4,560.00 ",59D,170D,As per Quality Swatch,AsSwatch,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,218.72 ,1,1,92/2,49.57,0.00 ,0.00 ,0.00 ,0.00 ,Aakash Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,28 Jul 2023,,,,
2054,610254,03 Aug 2023,230701885R-1,P230712588,L Kendra Cargo Pant SS24,As per Buyer Swatch,76.55 ,30.00 ,Varner,Varner,S/D,As Per Swatch,"3/1 ""S"" Twill",54% BCI Cotton + 46% Tencel,"5,700.00 ",30 Tencel,20,Soft,100X76/30TencelX20Cotton,34.85 ,32.44 ,34.85 ,32.44 ,81.00 ,88.58 ,1,1,84/2,67.86,263.47 ,0.00 ,263.47 ,260.00 ,Rafi,67.29 ,0.00 ,34.85 ,32.44 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,09 Aug 2023,,,,
